"","logFC","logCPM","PValue","FDR"
"YLR314C",-0.546792522910782,8.10971007025387,1.61871115514521e-09,1.96891584264073e-08
"YMR124W",-0.572279883608809,7.29405725814137,1.61989500516981e-09,1.96891584264073e-08
"YDR088C",-0.85548875836809,5.88469241775767,1.62052056002372e-09,1.96891584264073e-08
"YOL108C",-1.0733884713622,5.25647832317923,1.62846760980001e-09,1.97451697688251e-08
"YDR436W",-0.634905147302008,6.82404537258826,1.63546318929298e-09,1.9789439040995e-08
"YNL239W",-0.711136263662453,7.76643583941694,1.6614133644974e-09,2.0062414036186e-08
"YMR081C",0.954339422576717,5.59095196328309,1.70545620813017e-09,2.05523103533731e-08
"YPL234C",-0.515855322135432,8.28579807101729,1.88311449300716e-09,2.26471310063483e-08
"YBR238C",1.65054187534863,5.34655273464108,1.9055472504315e-09,2.28704322125825e-08
"YMR275C",-0.599868808829259,6.88954987741016,1.93746713954315e-09,2.32064636936778e-08
"YOR003W",-0.951386241460883,5.52249119968012,1.97185293130762e-09,2.35706137263579e-08
"YLR105C",-0.732588934184164,5.93362822153574,2.25770431154958e-09,2.68625043599135e-08
"YLR346C",2.07163468152056,3.0556576710781,2.25950807418859e-09,2.68625043599135e-08
"YIL047C",0.762882163129991,6.83147036559339,2.26086313524369e-09,2.68625043599135e-08
"YOL136C",1.270776055855,6.40740200687975,2.3009250725066e-09,2.72837147375182e-08
"YNL125C",-0.754451135664005,6.6356853313024,2.38448844618243e-09,2.82180362721228e-08
"YKR046C",-0.559975567233503,7.53378364869614,2.4242802522538e-09,2.86316691668377e-08
"YIL014C-A",-1.88704235606269,3.48083663779715,2.46566898161712e-09,2.90624768211723e-08
"YPR198W",-0.638075914165718,6.52762435902577,2.63715924782791e-09,3.10220104759399e-08
"YDR461W",1.05361063080391,5.43235677701188,2.66519630672443e-09,3.12896161644612e-08
"YBR207W",-0.674322285969284,7.27449676493736,2.75185773848995e-09,3.22430539379109e-08
"YJL166W",-0.764807721059112,5.998913053794,2.78406277809451e-09,3.25559277825795e-08
"YAR007C",-0.861993297691881,6.50419225061026,2.80015501093538e-09,3.2679521103954e-08
"YNL215W",-0.590829959583428,6.84714126783328,2.82377753529726e-09,3.28903379455785e-08
"YGL252C",-0.622308848707975,7.74441926378932,2.89098460939626e-09,3.36069861174807e-08
"YER080W",-0.697164174455893,7.13597163587016,2.89794594128517e-09,3.36218551658517e-08
"YGL234W",0.937980804442771,8.7353934292558,2.93758777661292e-09,3.40150819456333e-08
"YDR507C",-0.848299651137886,6.33216945366544,2.9568482423306e-09,3.41712325192777e-08
"YOL154W",-1.12323331565764,5.02910218255528,3.01688981658146e-09,3.4797148235307e-08
"YOL018C",-0.65325795232046,6.70247158103134,3.13032922607305e-09,3.60353269079265e-08
"YMR029C",-0.717434158078061,6.3863892914384,3.18321640077496e-09,3.65729930939523e-08
"YHR162W",-0.63665422144002,8.3464795411638,3.21740609204564e-09,3.68941702454148e-08
"YJR112W-A",-0.850596271059256,5.77539090675133,3.2566378739155e-09,3.72718110250639e-08
"YOL052C-A",1.92334699248288,4.25610340442265,3.27384371961872e-09,3.73963963107799e-08
