"","logFC","logCPM","PValue","FDR"
"YPR114W",-0.472237578259515,7.37725362078765,7.46523633481595e-08,3.93337519083757e-07
"YLL053C",1.34877021240953,3.66350045087056,7.50542162825792e-08,3.95103022903933e-07
"YGR295C",-0.55628700528104,7.11269524642271,7.53136520865783e-08,3.96116337241141e-07
"YML048W",-0.488146482453357,8.37890414858051,7.54020060169788e-08,3.96228836236646e-07
"YOR330C",-0.632906926573326,6.72050046606272,7.58259012454393e-08,3.98102801836082e-07
"YPL126W",1.05052514469801,6.51052405112587,7.68934362152182e-08,4.0334970043036e-07
"YJL070C",-0.727765240567358,5.86366094282443,7.82608883212118e-08,4.10159146321178e-07
"YDL113C",-0.689747551867939,6.18477696295199,7.91370639066793e-08,4.14384077111346e-07
"YMR311C",-0.531223171974383,7.83599452746517,7.93915234034374e-08,4.15348933667674e-07
"YJR014W",-0.50825408161891,7.31183292273244,8.14522358988021e-08,4.2575342739683e-07
"YDR519W",-0.667974651332641,5.960372520464,8.16213357586504e-08,4.26260762298265e-07
"YML118W",-0.934698466791996,4.59270024180649,8.22829921075184e-08,4.29337270105984e-07
"YHL032C",-0.562943167445904,7.58949815949113,8.36039811036345e-08,4.35845600167582e-07
"YCL035C",-0.532505775104892,7.08141234446208,8.47092711257484e-08,4.41218976453392e-07
"YGR230W",-1.36696161824606,4.30878161317699,8.60701999656028e-08,4.47913256988981e-07
"YMR255W",-0.718651542365093,5.96032870041409,8.64264535214941e-08,4.49371990761582e-07
"YLL002W",-1.07420866312005,4.60918627704715,8.79078415671526e-08,4.56673133057807e-07
"YML053C",-0.765825174776357,5.89400741848227,9.0269220005773e-08,4.68312958197857e-07
"YGR179C",-0.881539748459648,5.06046264257146,9.03067576987924e-08,4.68312958197857e-07
"YNL221C",0.676171536858068,6.36576575905887,9.17029120045898e-08,4.7502782867171e-07
"YKL051W",0.540960499570328,6.60669881104621,9.17621781598385e-08,4.7502782867171e-07
"YNR006W",-0.547174111393972,7.07594551968681,9.44305463076477e-08,4.88413935753804e-07
"YLR426W",-0.710137340979995,5.58389964404982,9.59931407866726e-08,4.96062370336019e-07
"YGR097W",-0.496490857708971,8.13801465507055,9.6187082018292e-08,4.96630858902473e-07
"YMR281W",-0.655148829504628,6.145203872229,9.65565477411243e-08,4.98103829977535e-07
"YOR099W",-0.451192052613902,8.1540817799461,9.70004606082754e-08,4.99957948971398e-07
"YKL078W",1.80452122936356,3.70987920594403,9.71121710745894e-08,5.00039231756701e-07
"YMR181C",-0.677075403043822,6.25028526525152,9.71852486936295e-08,5.00039231756701e-07
"YBL087C",0.419480956719911,9.61566712997437,9.78901240458857e-08,5.03228378783237e-07
"YFL024C",-0.553276506393013,6.40389574006569,9.81087533919382e-08,5.0391449116328e-07
"YPR133C",-0.508266328908065,7.18052187530784,9.9238016995395e-08,5.09272633618172e-07
"YOR110W",-0.698200871458001,6.14119069768475,1.00791192655023e-07,5.16795049341224e-07
"YHR210C",-0.692355825240943,5.2854985706951,1.02196606466847e-07,5.23547463605483e-07
"YHR030C",0.458876831292226,8.0592710725741,1.03481575608053e-07,5.29671697986897e-07
"YDL159W",-0.737848251097387,5.50302799069172,1.04410713273093e-07,5.33965592426006e-07
"YNL293W",-0.713442384862422,6.4167451769202,1.05106602341775e-07,5.37060247026151e-07
"YDL056W",-0.684649925083464,5.93424222619976,1.06128563461069e-07,5.41814245038091e-07
"YPR072W",-0.657321593993436,7.00273017115149,1.07430903643305e-07,5.47990221428823e-07
"YNL284C",-0.709405265726597,5.79189281762807,1.0779281579515e-07,5.49362696864688e-07
"YCL057C-A",-0.552496731561352,7.1988243922167,1.10496884497391e-07,5.62659264691106e-07
"YHR090C",-1.11127206573228,4.59659331432001,1.11171805215005e-07,5.65609261786057e-07
"YML008C",0.3934828790259,8.66218294082624,1.11935593753672e-07,5.69005934914501e-07
"YDR007W",-0.588359082833558,6.38107743078097,1.1230442583451e-07,5.70390804860769e-07
"YLL057C",-1.06367542107176,4.38975699725634,1.16658793834735e-07,5.91998356020693e-07
"YKL135C",-0.529990764467412,7.00256170972895,1.18697955034378e-07,6.01830162757853e-07
"YHR103W",-0.540804593767326,6.57009527449497,1.19056843769929e-07,6.03133000502287e-07
"YGR193C",-0.515448958594146,7.07636944296388,1.19801623112325e-07,6.06386829731074e-07
"YLR189C",-0.622494986711186,6.71772541653793,1.21129982141952e-07,6.12586413960623e-07
"YDR520C",-0.862874398516896,4.77929217119545,1.21832226496788e-07,6.15611685893678e-07
"YNL147W",-0.877649926957736,5.95540210580769,1.23119924344138e-07,6.21587536129919e-07
"YGR127W",-0.720043717056376,5.4859933752405,1.26243573516047e-07,6.36814343132526e-07
"YIL124W",-0.512777777614676,7.7637272150413,1.26566070585458e-07,6.37897308052944e-07
"YLR036C",-1.08646874175827,4.49723817917265,1.28594911453163e-07,6.47571141334781e-07
"YFR031C",-0.723669861952309,6.2297054590623,1.29098709400257e-07,6.49555326123574e-07
"YLR362W",-0.641960636773531,5.96425398834599,1.30108994058792e-07,6.54082343114591e-07
"YPR066W",-0.77776389284138,5.05648893353492,1.30841612074607e-07,6.57206976778818e-07
"YMR226C",-0.530485673719126,7.97616190424973,1.34933236713324e-07,6.77184021741085e-07
"YBR073W",-0.61647954116531,6.83149955813553,1.36604318948545e-07,6.84989623066559e-07
"YPR182W",-0.675987381632989,6.00744366105139,1.39182416912265e-07,6.97326300482531e-07
"YPL165C",-0.744113516972108,5.71552239253365,1.39766372482559e-07,6.99659582046787e-07
"YML042W",-1.04013425136958,5.06241168771752,1.41557210078426e-07,7.0802536942861e-07
"YDL142C",-0.811322108311282,5.25170705080231,1.41716227658795e-07,7.08222060014433e-07
"YHR113W",-0.516806639681162,7.24745322722904,1.42166950051434e-07,7.09874973379184e-07
"YDR377W",-0.613308232552033,6.43621591850372,1.42382913399355e-07,7.10038260010357e-07
"YER012W",-0.451347871764483,7.74335816896336,1.42439650943433e-07,7.10038260010357e-07
"YBR204C",-0.754225478323014,5.79751634811943,1.42688547471143e-07,7.10680248642048e-07
"YNL200C",-0.769265627015431,6.23828910435909,1.42889957097847e-07,7.11084841167333e-07
"YDR147W",-0.860860547693699,5.22180358130616,1.43596349801538e-07,7.13999665357729e-07
"YJR118C",-0.865892374767691,5.62056240400144,1.47809589040685e-07,7.34331938164346e-07
"YHR001W-A",-0.84017369069279,5.06758379645469,1.49249123834811e-07,7.40861632324308e-07
"YDR480W",-0.85218517218362,5.2427615149517,1.49991217786115e-07,7.43921236915712e-07
"YDL017W",-0.901270008496283,5.25811598401723,1.50225158113077e-07,7.44457504652495e-07
"YBR010W",-0.781475504876949,9.059673877107,1.50367928650546e-07,7.44541450899817e-07
"YLL015W",-0.460467492604948,7.41081045993984,1.53413849470691e-07,7.5898808304187e-07
"YBR012W-B",1.70635620893756,5.09307472794238,1.55365164261796e-07,7.67999730106139e-07
"YMR304W",-0.556770876747721,6.93891406879358,1.55614001913841e-07,7.68587687248911e-07
"YMR121C",-0.651725482938696,6.37366733678686,1.58709584895027e-07,7.83223197517826e-07
"YMR017W",-1.97208978556732,2.98497407190327,1.61071737072466e-07,7.94217890214819e-07
"YKR017C",-0.755723232944195,5.62700044244891,1.62741486049533e-07,8.0178299163621e-07
"YPL168W",-0.862416354775369,5.40272940136676,1.63043278928996e-07,8.02601565243652e-07
"YPL031C",-0.610271356157894,6.82498295210615,1.65017666492933e-07,8.11645496790262e-07
"YPL245W",0.796956916705587,5.85380905374597,1.67644756290252e-07,8.23882078878258e-07
"YPR204W",-0.51689720786022,9.48914933566578,1.70152047744551e-07,8.35510096684241e-07
"YML115C",-0.548257179405205,7.34186878665362,1.70602831828847e-07,8.3702898501765e-07
"YDR423C",-0.6310171004164,6.16413865992463,1.70807794418241e-07,8.37340281336152e-07
"YDR287W",-0.850390393202529,5.86978959895051,1.73204728779787e-07,8.48387731945362e-07
"YJL084C",-0.678428198802146,5.80452311534019,1.73400332519725e-07,8.48643314738805e-07
"YFR020W",-0.702969829697971,5.55776638893031,1.75364966684463e-07,8.57549180059477e-07
"YLR249W",0.446827176980291,11.7032864805245,1.76062989264805e-07,8.60251616416064e-07
"YER024W",-0.955714347800838,5.87590140278762,1.78100746141903e-07,8.69490193829737e-07
"YJR044C",-0.57071693437056,6.21887811876082,1.78976779488913e-07,8.73046664662736e-07
"YBL042C",-0.664106063985911,6.09199349773387,1.79373800413749e-07,8.74262584059436e-07
"YNL077W",-0.824147956650739,5.73020200566172,1.79809926770749e-07,8.75666943788082e-07
"YCL036W",1.67384715744981,3.35071832171958,1.80093443884827e-07,8.76326404166546e-07
"YPL053C",-0.698084720363037,6.99799146282368,1.84146516950674e-07,8.95312194574477e-07
"YDR383C",-1.06656283446692,4.91428719435799,1.84633975044511e-07,8.96945180901784e-07
"YNR032W",-0.698444614067327,6.10247582465634,1.88278747839739e-07,9.1390102622456e-07
"YCR072C",1.67585603820824,4.11542166127978,1.96591095648445e-07,9.53466813894959e-07
"YOR194C",-0.575231927628447,6.87872052906577,1.96932133444006e-07,9.54338602447324e-07
"YMR134W",-0.749557543909128,5.0939418398238,1.99662461596898e-07,9.66778056684819e-07
"YIL126W",-0.485004047190595,7.3337175352392,2.00008737089341e-07,9.67662876007876e-07
"YBR196C",0.438192293712126,11.1101784870929,2.08016932336842e-07,1.00558512143553e-06
"YOR132W",-0.483786867174605,7.40040640159648,2.08897772324997e-07,1.00879777114578e-06
"YLR410W-B",0.820299295685185,7.29807754255482,2.09022489001983e-07,1.00879777114578e-06
"YGR109W-B",-0.608496066131822,6.50950957726667,2.12729378492369e-07,1.0258514527623e-06
"YBL067C",-0.608782525894577,6.42196401782952,2.13703308813367e-07,1.02970885850871e-06
"YOR084W",-0.623828481762558,5.96100591999449,2.14281034144198e-07,1.03119710771525e-06
"YNL320W",-0.653894377247417,5.72008563500687,2.14360730520494e-07,1.03119710771525e-06
"YKR088C",-0.547042677009608,6.48232891716894,2.15888369811255e-07,1.03770226171665e-06
"YLR061W",0.500602613944317,10.0998379189166,2.16635333286956e-07,1.04044745702834e-06
"YOL057W",-0.592045287646481,6.75344581741658,2.18797682289989e-07,1.04998044291149e-06
"YEL017W",-0.634869728431972,5.90560855022266,2.20809788320574e-07,1.05877756684995e-06
"YCR017C",-0.426378443803107,8.27193347474456,2.26353352414325e-07,1.08420822533681e-06
"YPL264C",-1.18610034486866,4.08114127503055,2.26479865897634e-07,1.08420822533681e-06
"YJR017C",-0.502033338902756,7.62903957818331,2.28516612398298e-07,1.09307420821401e-06
"YGR135W",-0.385016990664575,8.49886186669226,2.30369843528251e-07,1.10104875941572e-06
"YLR119W",-1.05458118482043,4.45069137015205,2.30633884144812e-07,1.10142105930981e-06
"YMR197C",-0.519460001506019,6.70423409677728,2.34799305268952e-07,1.12040926554547e-06
"YGR047C",-0.803319178753884,5.35023124623829,2.39018824491919e-07,1.13962480621973e-06
"YAL051W",-0.652230964298166,5.91143013200858,2.39521299813641e-07,1.14110107165645e-06
"YAL064W",-3.96665568543713,1.87176897308949,2.42013668554658e-07,1.1519072573287e-06
"YDR384C",0.571494076181841,6.03354843161142,2.42178912982406e-07,1.1519072573287e-06
"YOL061W",0.542097313200266,7.28859418665956,2.42881291826913e-07,1.15432016364646e-06
"YJR011C",-0.98682117222114,4.5041660109651,2.46163939707896e-07,1.16898236858076e-06
"YKL140W",-0.495108376358681,6.89585846751185,2.48943397503087e-07,1.18123342664456e-06
"YJL158C",0.447546113487358,9.71563994638329,2.52826159771196e-07,1.19860789753856e-06
"YGR287C",-0.725547168498877,5.3061083344259,2.53010184895329e-07,1.19860789753856e-06
"YMR075W",-0.995310373622567,5.30136464792016,2.57932520867819e-07,1.22094938077991e-06
"YDR142C",-0.74106139124625,5.41768333847402,2.59931865582425e-07,1.22942993497299e-06
"YDR236C",-0.751472894646715,5.71464833626654,2.60760038678403e-07,1.23236193998411e-06
"YPL225W",-0.599825860719541,6.97847538645939,2.62300800274786e-07,1.23865429786585e-06
"YJR093C",-0.56230844360871,6.31621314305388,2.67289767395021e-07,1.26120698060314e-06
"YDR379W",-0.56405268792255,6.81711451561387,2.67730484152791e-07,1.26227990018491e-06
"YOR117W",-0.46317332423671,8.16742722549156,2.70946190753171e-07,1.27642405309436e-06
"YDR219C",-0.825032147378017,5.63681133918028,2.74742003039591e-07,1.29327639776075e-06
"YLR316C",-0.632524794808928,6.20316031674573,2.80478240163955e-07,1.31922873374413e-06
"YDR090C",-0.624451972897575,5.80470218252128,2.82258919439027e-07,1.32654966347952e-06
"YJR027W",1.40180501857166,6.57065540796099,2.85338344361554e-07,1.339957923482e-06
"YFL038C",-0.421390056669847,9.31238672565557,2.88323241401684e-07,1.35290136350021e-06
"YGL104C",-0.705093449313029,5.40523446039299,2.89309673873125e-07,1.35645431086155e-06
"YJL122W",0.957219665571981,5.30453369673102,2.90336247597974e-07,1.36018968886557e-06
"YLR432W",0.394353613173053,8.60890520238078,2.92937701720376e-07,1.37129144072743e-06
"YMR238W",-0.567096488129574,7.98137565228968,2.93763976215055e-07,1.37407229032765e-06
"YDR371W",-0.757063966440035,5.40018225874443,2.9400952679026e-07,1.37413457347391e-06
"YML093W",0.970665741119757,6.5890468939317,2.99793579721857e-07,1.40006204515725e-06
"YKL084W",-0.82590573660627,5.26394655133102,3.01691720311024e-07,1.40781538571004e-06
"YCR096C",-1.22049825504389,4.90925194638654,3.05925807215673e-07,1.42644838557537e-06
"YML066C",-1.09193450658078,4.34802774561076,3.06406705302236e-07,1.42756572856168e-06
"YGL054C",-0.58793693928928,6.57751410744167,3.08102294610537e-07,1.43419629405651e-06
"YKL157W",-0.449331624415078,7.78958479272222,3.08314633435843e-07,1.43419629405651e-06
"YGL093W",-0.564968794270917,6.20144125679416,3.10536503625205e-07,1.44339708715659e-06
"YDR123C",-1.02463858431473,4.83202404875999,3.14473304297583e-07,1.46026016649337e-06
"YDR386W",-0.87634579887532,4.7814835831043,3.14759344488826e-07,1.46026016649337e-06
"YPL050C",-0.484604061618443,7.3001734604487,3.14904845774133e-07,1.46026016649337e-06
"YKL033W-A",-0.572534982410049,7.11266221633714,3.16821465089861e-07,1.467997344508e-06
"YFR039C",-0.652681564204271,5.85236789006036,3.17326800127675e-07,1.46918832265685e-06
"YLR241W",-0.544367627567413,7.02784864965282,3.18455410702158e-07,1.47326087969091e-06
"YMR022W",-0.56747540227054,6.69738727238959,3.20280938905005e-07,1.48054868398509e-06
"YER014W",-0.731195600288601,5.7284845431913,3.20913021806875e-07,1.48231252929842e-06
